id;bald;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
1064;1;1967;1995;1995;28;4;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;2;0;1113.536
1069;1;1967;1995;1995;28;4;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
1077;1;1967;1995;1995;28;4;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
1087;1;1967;1995;1995;28;4;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
1060;1;1967;1995;1995;28;4;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;8;0;1113.536
1071;1;1967;1995;1995;28;4;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;21;0;1113.536
54;1;1967;1994;1995;28;4;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1066;1;1967;1995;1995;28;5;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;1;0;1113.536
49;1;1967;1994;1995;28;5;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;30;0;1113.536
1061;1;1967;1995;1995;28;5;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1065;1;1967;1995;1995;28;6;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;2;0;1113.536
50;1;1967;1994;1995;28;6;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;6;0;1113.536
5;1;1967;1994;1995;28;6;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;7;0;1113.536
1062;1;1967;1995;1995;28;6;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;12;0;1113.536
37;1;1967;1994;1995;28;6;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;22;0;1113.536
1081;1;1967;1995;1995;28;6;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;22;0;1113.536
1067;1;1967;1995;1995;28;6;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1079;1;1967;1995;1995;28;6;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1075;1;1967;1995;1995;28;7;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;8;0;1113.536
1083;1;1967;1995;1995;28;7;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;29;0;1113.536
2;1;1967;1994;1995;28;7;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;35;0;1113.536
32;1;1967;1994;1995;28;10;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;9;0;1113.536
1072;1;1967;1995;1995;28;10;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;9;0;1113.536
55;1;1967;1994;1995;28;11;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;2;0;1113.536
17;1;1967;1994;1995;28;11;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;25;0;1113.536
42;1;1967;1994;1995;28;13;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;49;0;1113.536
47;1;1967;1994;1995;28;15;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;22;0;1113.536
48;1;1967;1994;1995;28;17;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
30;1;1967;1994;1995;28;17;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;8;0;1113.536
36;1;1967;1994;1995;28;17;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;20;0;1113.536
13;1;1967;1994;1995;28;19;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;49;0;1113.536
15;1;1967;1994;1995;28;21;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;35;0;1113.536
38;1;1967;1994;1995;28;21;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
18;1;1967;1994;1995;28;22;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;17;0;1113.536
7;1;1967;1994;1995;28;22;0;1;20;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;26;0;1113.536
1086;1;1967;1995;1995;28;22;0;1;6;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1084;1;1967;1995;1995;28;25;0;1;16;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;28;0;1113.536
31;1;1967;1994;1995;28;26;0;1;10;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
59;1;1967;1994;1995;28;27;0;1;10;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;47;0;1113.536
39;1;1967;1994;1995;28;28;0;1;16;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
6;1;1967;1994;1995;28;29;0;1;41;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;23;0;1113.536
45;1;1967;1994;1995;28;30;0;1;24;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;41;0;1113.536
8;1;1967;1994;1995;28;30;0;1;121;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;47;0;1113.536
1085;1;1967;1995;1995;28;31;0;1;79;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
27;1;1967;1994;1995;28;31;0;1;42;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;39;0;1113.536
46;1;1967;1994;1995;28;36;0;1;44;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
3;1;1967;1994;1995;28;37;0;1;61;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;48;0;1113.536
19;1;1967;1994;1995;28;37;0;1;33;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
61;1;1967;1994;1995;28;37;0;1;132;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
20;1;1967;1994;1995;28;38;0;1;87;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;36;0;1113.536
21;1;1967;1994;1995;28;38;0;1;136;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;40;0;1113.536
43;1;1967;1994;1995;28;39;0;1;30;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;43;0;1113.536
12;1;1967;1994;1995;28;40;0;1;31;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;33;0;1113.536
16;1;1967;1994;1995;28;40;0;1;139;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
9;1;1967;1994;1995;28;42;0;1;134;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
10;1;1967;1994;1995;28;46;0;1;48;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;53;0;1113.536
40;1;1967;1994;1995;28;48;0;1;165;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;49;0;1113.536
14;1;1967;1994;1995;28;52;0;1;229;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
11;1;1967;1994;1995;28;54;0;1;159;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;45;0;1113.536
58;1;1967;1994;1995;28;57;0;1;854;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;61;0;1113.536
1082;1;1967;1995;1995;28;58;0;1;255;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;49;0;1113.536
1089;1;1967;1995;1995;28;64;0;1;312;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
64;1;1967;1994;1995;28;71;0;1;530;14;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
60;1;1967;1994;1995;28;76;0;1;707;14;0.001336;0.141421356;0.08234528;0.672;1420.622;1;76;0;1113.536
1066;1;1967;1995;1996;29;1;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;4;0;1414.272
55;1;1967;1994;1996;29;2;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;9;0;1414.272
1065;1;1967;1995;1996;29;2;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;29;0;1414.272
1064;1;1967;1995;1996;29;2;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
1087;1;1967;1995;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;2;0;1414.272
1085;1;1967;1995;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;4;0;1414.272
1070;1;1967;1995;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;5;0;1414.272
41;1;1967;1994;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;11;0;1414.272
1077;1;1967;1995;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;15;0;1414.272
1069;1;1967;1995;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;16;0;1414.272
48;1;1967;1994;1996;29;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
1074;1;1967;1995;1996;29;4;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;26;0;1414.272
50;1;1967;1994;1996;29;6;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
5;1;1967;1994;1996;29;7;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
30;1;1967;1994;1996;29;8;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;10;0;1414.272
1060;1;1967;1995;1996;29;8;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;13;0;1414.272
1075;1;1967;1995;1996;29;8;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;25;0;1414.272
32;1;1967;1994;1996;29;9;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;21;0;1414.272
1072;1;1967;1995;1996;29;9;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
1062;1;1967;1995;1996;29;12;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;12;0;1414.272
1088;1;1967;1995;1996;29;14;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;1;1;0;1414.272
18;1;1967;1994;1996;29;17;0;1;2;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;36;0;1414.272
36;1;1967;1994;1996;29;20;0;1;3;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;21;0;1414.272
1071;1;1967;1995;1996;29;21;0;1;2;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;16;0;1414.272
37;1;1967;1994;1996;29;22;0;1;13;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;28;0;1414.272
1081;1;1967;1995;1996;29;22;0;1;10;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;31;0;1414.272
47;1;1967;1994;1996;29;22;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
6;1;1967;1994;1996;29;23;0;1;24;14;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
17;1;1967;1994;1996;29;25;0;1;14;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;32;0;1414.272
7;1;1967;1994;1996;29;26;0;1;11;14;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
1084;1;1967;1995;1996;29;28;0;1;4;14;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
1083;1;1967;1995;1996;29;29;0;1;3;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;42;0;1414.272
49;1;1967;1994;1996;29;30;0;1;48;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;9;0;1414.272
12;1;1967;1994;1996;29;33;0;1;49;14;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
2;1;1967;1994;1996;29;35;0;1;33;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;43;0;1414.272
15;1;1967;1994;1996;29;35;0;1;56;14;0.001336;0.141421356;0.08234528;0.672;1113.536;0;NA;NA;1414.272
20;1;1967;1994;1996;29;36;0;1;31;14;0.001336;0.141421356;0.08234528;0.672;1113.536;1;35;0;1414.272
